r,phi,z
2406,0,30
2391,0,71
2391,0,21
2410,0,80
2408,0,10
2395,0,51
2408,0,40
2393,0,101
2393,0,11
2391,0,121
2408,0,40
2395,0,61
65,0,30
1376,87381,2058
4,29943,1188
65,0,0
0,256,110
3314,65536,164
1376,87381,2098
65,0,140
0,0,140
1376,87381,2068
1376,87381,2078
4,29943,1228
3314,65536,64
14,32768,142
0,0,70
14,32768,32
0,0,0
0,0,80
0,256,50
1376,87381,2048
0,256,90
65,0,150
65,0,20
3314,65536,134
14,32768,22
0,256,110
3841,0,147
4,29943,1238
4,29943,1308
3314,65536,154
3314,65536,104
4,29943,1288
1376,87381,2028
0,256,130
0,0,40
3841,0,127
65,0,150
1376,87381,2088
14,32768,52
3841,0,57
4,29943,1308
0,256,100
3314,65536,114
1376,87381,2108
3314,65536,54
0,256,70
14,32768,22
65,0,80
0,0,10
1376,87381,2018
0,0,40
4,29943,1268
4,29943,1178
0,256,120
0,0,40
1376,87381,2028
33,0,30
1304,87381,2058
0,66030,276
33,0,0
1545,0,110
51,65536,164
1304,87381,2098
33,0,140
0,0,140
1304,87381,2068
1304,87381,2078
0,66030,316
51,65536,64
113,0,140
0,0,70
113,0,30
0,0,0
0,0,80
1545,0,50
1304,87381,2048
1545,0,90
33,0,150
33,0,20
51,65536,134
113,0,20
1545,0,110
3841,0,147
0,66030,326
0,66030,396
51,65536,154
51,65536,104
0,66030,376
1304,87381,2028
1545,0,130
0,0,40
3841,0,127
33,0,150
1304,87381,2088
113,0,50
3841,0,57
0,66030,396
1545,0,100
51,65536,114
1304,87381,2108
51,65536,54
1545,0,70
113,0,20
33,0,80
0,0,10
1304,87381,2018
0,0,40
0,66030,356
0,66030,266
1545,0,120
0,0,40
1304,87381,2028
774,22007,1198
2982,256,90
3012,104448,21
774,22007,1168
1607,65536,143
0,0,140
2982,256,130
774,22007,1308
1376,87381,2108
2982,256,100
2982,256,110
3012,104448,61
0,0,40
3841,0,147
1376,87381,2038
3841,0,37
1376,87381,1968
1376,87381,2048
1607,65536,83
2982,256,80
1607,65536,123
774,22007,1318
774,22007,1188
0,0,110
3841,0,27
1607,65536,143
65,0,140
3012,104448,71
3012,104448,141
0,0,130
0,0,80
3012,104448,121
2982,256,60
1607,65536,163
1376,87381,2008
65,0,120
774,22007,1318
2982,256,120
3841,0,57
65,0,50
3012,104448,141
1607,65536,133
0,0,90
2982,256,140
0,0,30
1607,65536,103
3841,0,27
774,22007,1248
1376,87381,1978
2982,256,50
1376,87381,2008
3012,104448,101
3012,104448,11
1607,65536,153
1376,87381,2008
2982,256,60
640,0,30
0,0,90
640,0,20
640,0,0
0,0,110
0,0,140
0,0,130
640,0,140
0,0,140
0,0,100
0,0,110
640,0,60
0,0,40
640,0,140
0,0,70
640,0,30
0,0,0
0,0,80
0,0,50
0,0,80
0,0,90
640,0,150
640,0,20
0,0,110
640,0,20
0,0,110
640,0,140
640,0,70
640,0,140
0,0,130
0,0,80
640,0,120
0,0,60
0,0,130
0,0,40
640,0,120
640,0,150
0,0,120
640,0,50
640,0,50
640,0,140
0,0,100
0,0,90
0,0,140
0,0,30
0,0,70
640,0,20
640,0,80
0,0,10
0,0,50
0,0,40
640,0,100
640,0,10
0,0,120
0,0,40
0,0,60
65,0,30
1376,87381,2058
771,3831,1188
65,0,0
1988,256,110
2746,0,164
1376,87381,2098
65,0,140
0,0,140
1376,87381,2068
1376,87381,2078
771,3831,1228
2746,0,64
3554,104448,140
0,0,70
3554,104448,30
0,0,0
0,0,80
